Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
SALT_1,Saltend North,P8,P,47,16.0,3.0,5,63,55,0,44,0,0,N/A for summer
SALH_1,Saltholme,Q2,Q,83,28.1,2.5,0,35,0,0,422,0,0,N/A for summer
SEAB1,Seabank,G7,G,133,-20.7,-24.1,7,340,37,0,114,0,0,N/A for summer
SELL_1,Sellindge,C4,C,122,132.3,37.2,5,281,0,0,16,0,0,N/A for summer
SHEC_3,Sheffield City,P3,P,31,5.3,-0.1,0,11,0,0,5,0,0,N/A for summer
SALL1,Sheringham Shoal,J3,J,255,62.6,11.4,0,0,0,0,7,0,0,N/A for summer
SHIN_P,Shin,T5,T,6,0.9,0.4,0,1,0,2,0,0,0,N/A for summer
SHRW_1,Shrewsbury,L5,L,61,-5.9,-10.0,6,259,5,0,29,0,0,N/A for summer
SHRU,Shrubhill,S6,S,25,0.2,-3.9,0,1,0,0,0,0,0,N/A for summer
SIGH,Sighthill,S6,S,41,0.8,-5.6,1,10,0,0,6,0,0,N/A for summer
SKLGB1,Skelton Grange,P1,P,221,81.5,-87.5,8,135,2,0,104,0,0,N/A for summer
SLOY_P,Sloy,T3,T,13,4.0,3.9,0,1,0,0,0,0,0,N/A for summer
SMAN_1,South Manchester,N2,N,146,152.5,-57.5,20,55,0,0,57,0,0,N/A for summer
SSHI_3,South Shields,Q4,Q,15,0.1,-3.3,37,32,0,0,1,0,0,N/A for summer
SPAV,Spango Valley,S6,S,14,13.4,10.9,0,3,1,0,1,0,0,N/A for summer
SPEN_1,Spennymoor,Q7,Q,68,-20.4,-34.8,28,112,109,1,33,0,0,N/A for summer
SANX,St Andrews Cross,S6,S,14,-4.8,-6.2,0,0,0,0,0,0,0,N/A for summer
SFEG_P,St Fergus Gas Terminal,T2,T,3,4.3,3.4,5,9,26,0,0,0,0,N/A for summer
SFIL_P,St Fillans,T4,T,0,6.9,6.1,0,4,0,8,0,0,0,N/A for summer
SJOW_1,St John's Wood,A7,A,310,157.5,-40.5,0,11,0,0,27,0,0,N/A for summer
SASA,St. Asaph,M6,M,2,0.0,0.0,0,0,0,0,3,0,0,N/A for summer
STAL_1,Stalybridge,N7,N,140,-17.7,-20.8,43,94,0,0,82,0,0,N/A for summer
STAH_1,Stanah,R4,R,22,-16.7,-17.1,2,66,1,0,6,0,0,N/A for summer
STAY_1,Staythorpe,K5,K,103,-2.1,-32.7,6,553,8,0,35,0,0,N/A for summer
STEN_1,Stella North,Q5,Q,81,23.2,5.4,2,53,0,0,44,0,0,N/A for summer
STES_1,Stella South,Q5,Q,95,-36.6,-56.5,5,102,40,0,13,0,0,N/A for summer
STIR,Stirling,S5,S,42,2.6,-2.6,2,41,32,0,16,0,0,N/A for summer
SBAR,Stoke Bardolph,L7,L,57,-25.0,-33.2,5,171,5,1,56,0,0,N/A for summer
STHA,Strathaven,S6,S,18,8.5,3.4,0,6,20,0,0,0,0,N/A for summer
STLE,Strathleven,S5,S,7,9.3,4.7,1,22,0,3,3,0,0,N/A for summer
STRI_P,Strichen,T2,T,1,0.0,-0.1,0,29,28,0,1,0,0,N/A for summer
SUND_1,Sundon,D4,D,201,27.2,-83.1,67,375,9,0,98,0,0,N/A for summer
SWAN_1,Swansea North,H6,H,201,29.1,-26.8,58,621,354,13,92,0,0,N/A for summer
TARL_P,Tarland,T2,T,3,2.7,1.9,0,24,13,3,3,0,0,N/A for summer
TAUN1,Taunton,E8,E,46,-7.4,-7.4,34,202,0,0,28,0,0,N/A for summer
