Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
COVE_1,Coventry,L3,L,479.424,33.219,-8.318856429,0.334,56.369,91.155,0,69.205,0,0,-9.989
COWL_1,Cowley,D6,D,537.235,70.776,-42.29652836,0.438,307.379,0.057,1.123,48.223,0,0,-12.005
COYL,Coylton,S6,S,46.891,3.848,2.280153555,0.035,4.328,39.628,2.217,5.232,0,0,-1.154
CRAI_P,Craigiebuckler,T2,T,24.817,-1.128,-1.261824326,0.003,0.312,1.089,0,0.001,0,0,-0.489
CREB_1,Creyke Beck,P8,P,510.993,95.368,5.034832925,50.383,82.185,156.828,0,177.563,0,0,-11.253
CUMB,Cumbernauld,S5,S,39.395,4.474,0.136181226,0.025,3.146,4.016,0,46,0,0,-1.088
CUPA,Cupar,S5,S,50.591,4.196,3.7663999,0.065,13.066,5.827,0,5.058,0,0,-1.303
CURR,Currie,S6,S,10.598,-0.165,-0.165,0.001,0.086,0,0,0,0,0,-0.211
DALL_P,Dallas,T1,T,0,0,0,0,0,0,0,0,0,0,0
DALM3,Dalmarnock,S6,S,33.834,2.521,0.211074477,0.021,2.551,0,0,17.6,0,0,-0.832
DEVM,Devol Moor,S6,S,25.725,3.372,2.097936118,0.012,1.432,25.818,0.026,20,0,0,-0.735
DEVO,Devonside,S5,S,52.568,6.886,-0.238874668,0.034,13.874,70.979,1.094,1.203,0,0,-1.204
DEWP,Dewar Place,S6,S,54.319,2.971,-0.534416031,0.003,0.419,0,0,0,0,0,-1.625
DOUN_P,Dounreay,T5,T,12.325,5.333,4.937350359,0.011,1.421,11.3,0,0.291,0,0,-0.293
DRAK_1,Drakelow,L2,L,181.422,20.585,15.19675262,10.191,123.085,1.64,0.08,38.935,0,0,-4.129
DRAX_1,Drax,P4,P,133.484,1.845,-8.285405391,0.047,5.862,36.168,0.36,77.534,0,0,-2.879
DRUM,Drumchapel,S5,S,61.153,10.099,-0.805915669,0.013,1.555,0,0,0,0,0,-1.035
DRCR,Drumcross,S5,S,19.414,3.143,1.424939528,29.9,0,0,0,0,0,0,-0.464
DUDH_P,Dudhope,T4,T,39.426,3.87,1.786027155,0.026,3.247,0.168,0,0,0,0,-1.132
DUNB,Dunbar,S6,S,0,0,-6.344981224,0,0,0,0,0,0,0,-0.525
DUBE_P,Dunbeath,T5,T,0.059,1.244,-0.230502539,0,0,0,0,0,0,0,-0.001
DUNF,Dunfermline,S5,S,32.999,0.187,-1.079148917,0.017,2.139,1.032,0,7.7,0,0,-0.676
DUNO_P,Dunoon,S5,S,10.612,-1.335,-1.335,0.015,1.846,0.098,9.015,0,0,0,-0.279
DUGR_P,Dunvegan,T1,T,5.409,1.212,0.906286956,0.001,0.164,0.079,0,0,0,0,-0.127
DYCE_P,Dyce,T2,T,28.571,0.294,-1.840539568,0.041,5.132,20.748,0.041,1.906,0,0,-0.728
EALI_6,Ealing,A7,A,203.166,-2.964,-7.205246529,0.041,5.1,0.112,0,3.296,0,0,-4.709
EAST,Earlstoun,S6,S,0,0,0,0,0,0,1.2,0,0,0,0
ECLA_1,East Claydon,D4,D,387.673,45.855,0.791533105,5.283,133.812,0.724,0,93.868,0,0,-7.834
ECLA_H,East Claydon,D4,D,0,0,0,0,0,0,0,0,0,0,0
EKIL,East Kilbride,S6,S,46.107,5.27,0.769427298,0.045,5.617,0.26,0.662,0.001,0,0,-1.044
EKIS,East Kilbride South,S6,S,27.807,4.082,-4.160998517,0,0,75.9,0,6.2,0,0,-0.56
EERH,Easterhouse,S6,S,72.701,5.292,-0.210129824,0.037,4.617,0.024,0,0,0,0,-1.679
EASO_1,Eaton Socon,J4,J,212.797,32.052,8.978250427,0.317,292.867,56.515,0.049,20.511,0,0,-4.59
ECCL,Eccles,S6,S,22.304,1.994,0.200417698,0.066,8.233,30.245,0,0.095,0,0,-0.533
ELDE,Elderslie,S6,S,30.764,0.266,-2.105064436,0.021,2.605,0,0,0,0,0,-0.593
ELGI_P,Elgin,T1,T,45.862,6.931,4.084116036,0.057,8.31,3.475,0.056,1.843,0,0,-1.12
ELLA_1,Elland,P1,P,329.384,56.348,9.046361804,0.243,30.134,41.688,0.099,52.246,0,0,-7.006
ELST_1,Elstree,A6,A,510.847,76.738,-6.068791646,0.13,21.068,0.05,0.279,111.243,0,0,-10.316
